Abbreviation,Name,Measures,Subscales,Category,Items,Paper Reference,link
CES-D,Center for Epidemiologic Studies Depression Scale,Depression,-,Mental Health,20,"Radloff, L.S. (1977). The CES-D Scale: a self-report depression scale for research in the general population. Applied Psychological Measurement, 1:385-401",https://nida.nih.gov/sites/default/files/Mental_HealthV.pdf
RRP-10,Remembered Relationship with Parents scale,Parental Relationships,"Alienation, Control",Developmental,10,"Denollet, J., Smolderen, K. G., van den Broek, K. C., & Pedersen, S. S. (2007). The 10-item Remembered Relationship with Parents (RRP10) scale: Two-factor model and association with adult depressive symptoms. Journal of affective disorders, 100(1-3), 179-189.",https://pure.uvt.nl/ws/files/852246/The_10-item.pdf
PI-20,Prosopagnosia Index,Prosopagnosia,-,Mental Health,20,"Tsantani, M., Vestner, T., & Cook, R. (2021). The Twenty Item Prosopagnosia Index (PI20) provides meaningful evidence of face recognition impairment. Royal Society Open Science, 8(11), 202062.",https://www.researchgate.net/publication/306601360_PI20_Questionnaire_A_printable_version_of_the/data/57bf55b708aed246b0f7ca90/rsos150305supp1.pdf?origin=publication_detail&_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uIiwicGFnZSI6InB1YmxpY2F0aW9uRG93bmxvYWQiLCJwcmV2aW91c1BhZ2UiOiJwdWJsaWNhdGlvbiJ9fQ
Mini-IPIP,International PersonalityItem Pool-Five-Factor Model Measure ,Big 5 PersonalityTraits,"Openness, Conscientiousness, Extraversion, Agreeableness, Neuroticism",Personality,20,"Donnellan, M. B., Oswald, F. L., Baird, B. M., & Lucas, R. E. (2006). The mini-IPIP scales: tiny-yet-effective measures of the Big Five factors of personality. Psychological assessment, 18(2), 192.",https://www.psychology.org.nz/journal-archive/Sibley-IPIP61.pdf
PHQ-9,The Patient Health Questionnaire,Depression,,Mental Health,9,"Kroenke, K., & Spitzer, R. L. (2002, September). The PHQ-9: A New Depression Diagnostic and Severity Measure. Psychiatric Annals, 32(9). ",https://www.apa.org/depression-guideline/patient-health-questionnaire.pdf
GAD-7,Generalised Anxiety Scale ,Anxiety,,Mental Health,7,"Spitzer, R. L., Kroenke, K., Williams, J. B. W., & Löwe, B. (2006). A Brief Measure for Assessing Generalized Anxiety Disorder: The GAD-7. Archives of Internal Medicine, 166(10), 1092-1097.  ",https://adaa.org/sites/default/files/GAD-7_Anxiety-updated_0.pdf
TAS-20,Toronto Alexithymia Scale ,Alexithmyia,"Difficulty identifying feelings, Difficulty describing feelings, Externally-oriented thinking",Mental Health,20,"Bagby, R. M., Parker, J. D. A., & Taylor, G. J. (1994, January). The twenty-item Toronto Alexithymia scale-I. Item selection and cross-validation of the factor structure. Journal of Psychosomatic Research, 38(1), 23-32. ",https://www.autistichub.com/wp-content/uploads/2022/12/Toronto-Alexithymia-Scale-Questionnaire-TAS-20.pdf
AMMSA,The Acceptance of Modern Myths About Sexual Aggression,Rape Myth Acceptance ,,Attitudes,30,"Gerger, H., Kley, H., Bohner, G., & Siebler, F. (2007). The Acceptance of Modern Myths About Sexual Aggression Scale: Development and Validation in German and English. Aggressive Behaviour, 33, 422-440.  ",https://onlinelibrary.wiley.com/doi/epdf/10.1002/ab.20195?saml_referrer
EPQ-R,The Eysenck PersonalityQuestionnaire-revised,Three Major Dimensions of Personality,"Extraversion, Neuroticism, Psychoticism",Personality,100,"Eysenck, S. B. G., Eysenck, H. J., & Barrett, P. (1985). A revised version of the psychoticism scale. Personalityand Individual Differences, 6, 21-29. ",https://hanseysenck.com/wp-content/uploads/2019/12/1985_eysenck_eysenck_et_al_-_revised_version_of_the_psychoticism_scale_personality_and.pdf
,The Aggression Questionnaire ,Aggression,"Physical aggression, verbal aggression, anger, hostility ",Personality,29,"Buss, A. H. & Perry, M. (1992). The Aggression Questionnaire. Journal of Personalityand Social Psychology, 63(3), 452-459. ",https://frankumstein.com/PDF/Psychology/The%20Aggression%20Questionnaire.pdf
